bank_name,loan_type,interest_rate,tenure_years,min_amount,max_amount,processing_fee,employment_type,location,description
Axis,Home Loan,14.09,10,100000,1000000,₹5620,Self-Employed,Kukatpally,"Axis offers a home loan at 14.09% for up to ₹1000000 in Kukatpally, Hyderabad."
Kotak,Vehicle Loan,10.16,2,100000,500000,₹2972,Self-Employed,Dilsukhnagar,"Kotak offers a vehicle loan at 10.16% for up to ₹500000 in Dilsukhnagar, Hyderabad."
Axis,Education Loan,14.99,15,100000,2000000,₹8321,Government,Jubilee Hills,"Axis offers a education loan at 14.99% for up to ₹2000000 in Jubilee Hills, Hyderabad."
Yes Bank,Home Loan,9.31,2,100000,1000000,₹1183,Salaried,Secunderabad,"Yes Bank offers a home loan at 9.31% for up to ₹1000000 in Secunderabad, Hyderabad."
HDFC,Vehicle Loan,11.35,2,100000,500000,₹7014,Government,Kukatpally,"HDFC offers a vehicle loan at 11.35% for up to ₹500000 in Kukatpally, Hyderabad."
Canara,Education Loan,13.14,15,50000,2000000,₹2045,Government,Begumpet,"Canara offers a education loan at 13.14% for up to ₹2000000 in Begumpet, Hyderabad."
Yes Bank,Personal Loan,9.17,3,100000,2000000,₹8149,Self-Employed,Madhapur,"Yes Bank offers a personal loan at 9.17% for up to ₹2000000 in Madhapur, Hyderabad."
Canara,Education Loan,7.42,10,100000,500000,₹4690,Salaried,Tolichowki,"Canara offers a education loan at 7.42% for up to ₹500000 in Tolichowki, Hyderabad."
IDFC First,Home Loan,12.77,1,100000,1000000,₹5382,Salaried,Dilsukhnagar,"IDFC First offers a home loan at 12.77% for up to ₹1000000 in Dilsukhnagar, Hyderabad."
IDFC First,Home Loan,14.39,3,200000,500000,₹1314,Salaried,LB Nagar,"IDFC First offers a home loan at 14.39% for up to ₹500000 in LB Nagar, Hyderabad."
BOB,Personal Loan,13.55,1,100000,1000000,₹8851,Government,Hitech City,"BOB offers a personal loan at 13.55% for up to ₹1000000 in Hitech City, Hyderabad."
PNB,Education Loan,9.27,3,200000,500000,₹1434,Self-Employed,Kondapur,"PNB offers a education loan at 9.27% for up to ₹500000 in Kondapur, Hyderabad."
Canara,Home Loan,10.34,3,50000,1000000,₹5155,Self-Employed,Tolichowki,"Canara offers a home loan at 10.34% for up to ₹1000000 in Tolichowki, Hyderabad."
Axis,Personal Loan,14.87,15,100000,1000000,₹3874,Salaried,Begumpet,"Axis offers a personal loan at 14.87% for up to ₹1000000 in Begumpet, Hyderabad."
BOB,Personal Loan,11.49,20,50000,2000000,₹9000,Self-Employed,LB Nagar,"BOB offers a personal loan at 11.49% for up to ₹2000000 in LB Nagar, Hyderabad."
SBI,Personal Loan,13.33,1,100000,1000000,₹1370,Pensioner,Ameerpet,"SBI offers a personal loan at 13.33% for up to ₹1000000 in Ameerpet, Hyderabad."
SBI,Home Loan,13.22,15,200000,2000000,₹9189,Government,Ameerpet,"SBI offers a home loan at 13.22% for up to ₹2000000 in Ameerpet, Hyderabad."
IDFC First,Vehicle Loan,13.34,2,100000,500000,₹7927,Government,Attapur,"IDFC First offers a vehicle loan at 13.34% for up to ₹500000 in Attapur, Hyderabad."
PNB,Personal Loan,7.98,10,50000,2000000,₹3595,Self-Employed,Madhapur,"PNB offers a personal loan at 7.98% for up to ₹2000000 in Madhapur, Hyderabad."
Axis,Vehicle Loan,9.48,3,100000,500000,₹9336,Government,Madhapur,"Axis offers a vehicle loan at 9.48% for up to ₹500000 in Madhapur, Hyderabad."
SBI,Personal Loan,8.3,10,100000,2000000,₹3399,Pensioner,Jubilee Hills,"SBI offers a personal loan at 8.3% for up to ₹2000000 in Jubilee Hills, Hyderabad."
Canara,Education Loan,11.18,3,50000,2000000,₹1620,Salaried,Miyapur,"Canara offers a education loan at 11.18% for up to ₹2000000 in Miyapur, Hyderabad."
SBI,Personal Loan,7.13,20,50000,500000,₹3859,Self-Employed,LB Nagar,"SBI offers a personal loan at 7.13% for up to ₹500000 in LB Nagar, Hyderabad."
ICICI,Personal Loan,8.69,20,200000,1000000,₹8988,Salaried,Begumpet,"ICICI offers a personal loan at 8.69% for up to ₹1000000 in Begumpet, Hyderabad."
ICICI,Vehicle Loan,8.71,3,200000,500000,₹8093,Salaried,LB Nagar,"ICICI offers a vehicle loan at 8.71% for up to ₹500000 in LB Nagar, Hyderabad."
IDFC First,Education Loan,10.11,15,100000,1000000,₹9813,Pensioner,Secunderabad,"IDFC First offers a education loan at 10.11% for up to ₹1000000 in Secunderabad, Hyderabad."
IDFC First,Personal Loan,8.34,10,200000,2000000,₹2396,Self-Employed,Kukatpally,"IDFC First offers a personal loan at 8.34% for up to ₹2000000 in Kukatpally, Hyderabad."
Axis,Vehicle Loan,12.76,2,200000,1000000,₹6964,Self-Employed,Secunderabad,"Axis offers a vehicle loan at 12.76% for up to ₹1000000 in Secunderabad, Hyderabad."
PNB,Education Loan,7.55,1,100000,500000,₹3682,Pensioner,LB Nagar,"PNB offers a education loan at 7.55% for up to ₹500000 in LB Nagar, Hyderabad."
Kotak,Education Loan,10.79,10,100000,2000000,₹1940,Self-Employed,Miyapur,"Kotak offers a education loan at 10.79% for up to ₹2000000 in Miyapur, Hyderabad."
IDFC First,Personal Loan,10.28,5,50000,2000000,₹5338,Self-Employed,LB Nagar,"IDFC First offers a personal loan at 10.28% for up to ₹2000000 in LB Nagar, Hyderabad."
SBI,Vehicle Loan,13.25,1,200000,1000000,₹3944,Salaried,Kondapur,"SBI offers a vehicle loan at 13.25% for up to ₹1000000 in Kondapur, Hyderabad."
IDFC First,Home Loan,7.32,20,100000,1000000,₹1365,Pensioner,Miyapur,"IDFC First offers a home loan at 7.32% for up to ₹1000000 in Miyapur, Hyderabad."
Canara,Home Loan,11.05,3,200000,1000000,₹7137,Government,Madhapur,"Canara offers a home loan at 11.05% for up to ₹1000000 in Madhapur, Hyderabad."
Axis,Education Loan,9.96,2,100000,2000000,₹4012,Government,Dilsukhnagar,"Axis offers a education loan at 9.96% for up to ₹2000000 in Dilsukhnagar, Hyderabad."
Axis,Home Loan,11.42,10,100000,2000000,₹8805,Pensioner,Banjara Hills,"Axis offers a home loan at 11.42% for up to ₹2000000 in Banjara Hills, Hyderabad."
SBI,Education Loan,14.41,1,50000,2000000,₹6994,Pensioner,Banjara Hills,"SBI offers a education loan at 14.41% for up to ₹2000000 in Banjara Hills, Hyderabad."
Canara,Education Loan,10.86,3,50000,1000000,₹6565,Pensioner,Begumpet,"Canara offers a education loan at 10.86% for up to ₹1000000 in Begumpet, Hyderabad."
Yes Bank,Personal Loan,12.58,2,200000,500000,₹1591,Self-Employed,Ameerpet,"Yes Bank offers a personal loan at 12.58% for up to ₹500000 in Ameerpet, Hyderabad."
Yes Bank,Home Loan,7.77,20,50000,1000000,₹5320,Self-Employed,Kukatpally,"Yes Bank offers a home loan at 7.77% for up to ₹1000000 in Kukatpally, Hyderabad."
HDFC,Personal Loan,14.26,5,200000,500000,₹8838,Pensioner,Kondapur,"HDFC offers a personal loan at 14.26% for up to ₹500000 in Kondapur, Hyderabad."
BOB,Education Loan,13.0,20,200000,500000,₹7575,Salaried,Kukatpally,"BOB offers a education loan at 13.0% for up to ₹500000 in Kukatpally, Hyderabad."
Kotak,Personal Loan,10.53,1,100000,1000000,₹2453,Government,Secunderabad,"Kotak offers a personal loan at 10.53% for up to ₹1000000 in Secunderabad, Hyderabad."
IDFC First,Education Loan,10.34,2,50000,500000,₹3535,Self-Employed,Tolichowki,"IDFC First offers a education loan at 10.34% for up to ₹500000 in Tolichowki, Hyderabad."
PNB,Vehicle Loan,11.3,3,200000,500000,₹7134,Salaried,Begumpet,"PNB offers a vehicle loan at 11.3% for up to ₹500000 in Begumpet, Hyderabad."
HDFC,Personal Loan,7.58,3,50000,500000,₹6484,Government,Begumpet,"HDFC offers a personal loan at 7.58% for up to ₹500000 in Begumpet, Hyderabad."
HDFC,Education Loan,7.74,20,100000,2000000,₹2775,Salaried,Dilsukhnagar,"HDFC offers a education loan at 7.74% for up to ₹2000000 in Dilsukhnagar, Hyderabad."
SBI,Vehicle Loan,10.15,15,50000,500000,₹9162,Government,Banjara Hills,"SBI offers a vehicle loan at 10.15% for up to ₹500000 in Banjara Hills, Hyderabad."
BOB,Education Loan,14.95,2,50000,2000000,₹6657,Self-Employed,Kondapur,"BOB offers a education loan at 14.95% for up to ₹2000000 in Kondapur, Hyderabad."
Axis,Personal Loan,7.03,20,100000,2000000,₹8591,Self-Employed,Attapur,"Axis offers a personal loan at 7.03% for up to ₹2000000 in Attapur, Hyderabad."
IDFC First,Personal Loan,11.54,3,100000,1000000,₹6604,Government,Jubilee Hills,"IDFC First offers a personal loan at 11.54% for up to ₹1000000 in Jubilee Hills, Hyderabad."
SBI,Education Loan,14.72,10,50000,1000000,₹3589,Government,Kukatpally,"SBI offers a education loan at 14.72% for up to ₹1000000 in Kukatpally, Hyderabad."
PNB,Education Loan,12.46,1,100000,2000000,₹8337,Government,Begumpet,"PNB offers a education loan at 12.46% for up to ₹2000000 in Begumpet, Hyderabad."
Kotak,Personal Loan,10.33,15,50000,2000000,₹8162,Government,Attapur,"Kotak offers a personal loan at 10.33% for up to ₹2000000 in Attapur, Hyderabad."
Canara,Education Loan,12.03,3,50000,1000000,₹7967,Government,Kondapur,"Canara offers a education loan at 12.03% for up to ₹1000000 in Kondapur, Hyderabad."
IDFC First,Personal Loan,8.23,10,100000,2000000,₹1404,Government,Dilsukhnagar,"IDFC First offers a personal loan at 8.23% for up to ₹2000000 in Dilsukhnagar, Hyderabad."
IDFC First,Vehicle Loan,9.68,3,100000,500000,₹8178,Pensioner,LB Nagar,"IDFC First offers a vehicle loan at 9.68% for up to ₹500000 in LB Nagar, Hyderabad."
PNB,Personal Loan,14.47,2,50000,1000000,₹7239,Pensioner,Begumpet,"PNB offers a personal loan at 14.47% for up to ₹1000000 in Begumpet, Hyderabad."
Kotak,Personal Loan,10.51,2,50000,2000000,₹6320,Government,Kondapur,"Kotak offers a personal loan at 10.51% for up to ₹2000000 in Kondapur, Hyderabad."
HDFC,Home Loan,9.24,2,100000,1000000,₹2289,Salaried,Mehdipatnam,"HDFC offers a home loan at 9.24% for up to ₹1000000 in Mehdipatnam, Hyderabad."
Yes Bank,Vehicle Loan,12.38,2,100000,2000000,₹4663,Government,Kukatpally,"Yes Bank offers a vehicle loan at 12.38% for up to ₹2000000 in Kukatpally, Hyderabad."
Axis,Vehicle Loan,13.84,15,100000,2000000,₹7211,Self-Employed,Kukatpally,"Axis offers a vehicle loan at 13.84% for up to ₹2000000 in Kukatpally, Hyderabad."
HDFC,Personal Loan,7.04,5,50000,500000,₹6570,Pensioner,Attapur,"HDFC offers a personal loan at 7.04% for up to ₹500000 in Attapur, Hyderabad."
IDFC First,Education Loan,9.6,20,200000,2000000,₹6476,Salaried,Kondapur,"IDFC First offers a education loan at 9.6% for up to ₹2000000 in Kondapur, Hyderabad."
SBI,Education Loan,14.82,1,100000,1000000,₹3815,Salaried,Dilsukhnagar,"SBI offers a education loan at 14.82% for up to ₹1000000 in Dilsukhnagar, Hyderabad."
ICICI,Home Loan,12.19,2,200000,500000,₹1489,Self-Employed,Kukatpally,"ICICI offers a home loan at 12.19% for up to ₹500000 in Kukatpally, Hyderabad."
Yes Bank,Home Loan,14.26,3,100000,2000000,₹1464,Pensioner,Mehdipatnam,"Yes Bank offers a home loan at 14.26% for up to ₹2000000 in Mehdipatnam, Hyderabad."
SBI,Education Loan,14.96,15,50000,500000,₹9229,Government,LB Nagar,"SBI offers a education loan at 14.96% for up to ₹500000 in LB Nagar, Hyderabad."
HDFC,Personal Loan,12.37,15,200000,2000000,₹5157,Government,Secunderabad,"HDFC offers a personal loan at 12.37% for up to ₹2000000 in Secunderabad, Hyderabad."
BOB,Vehicle Loan,7.88,10,200000,1000000,₹2181,Pensioner,Tolichowki,"BOB offers a vehicle loan at 7.88% for up to ₹1000000 in Tolichowki, Hyderabad."
Canara,Vehicle Loan,9.1,1,200000,1000000,₹5298,Salaried,Banjara Hills,"Canara offers a vehicle loan at 9.1% for up to ₹1000000 in Banjara Hills, Hyderabad."
Yes Bank,Personal Loan,8.4,1,100000,1000000,₹8393,Government,Attapur,"Yes Bank offers a personal loan at 8.4% for up to ₹1000000 in Attapur, Hyderabad."
SBI,Home Loan,12.41,15,50000,500000,₹7630,Salaried,Mehdipatnam,"SBI offers a home loan at 12.41% for up to ₹500000 in Mehdipatnam, Hyderabad."
ICICI,Vehicle Loan,7.26,1,100000,500000,₹3471,Government,Kondapur,"ICICI offers a vehicle loan at 7.26% for up to ₹500000 in Kondapur, Hyderabad."
Canara,Vehicle Loan,13.35,5,100000,2000000,₹7681,Pensioner,Mehdipatnam,"Canara offers a vehicle loan at 13.35% for up to ₹2000000 in Mehdipatnam, Hyderabad."
SBI,Home Loan,11.54,20,200000,2000000,₹3150,Salaried,Tolichowki,"SBI offers a home loan at 11.54% for up to ₹2000000 in Tolichowki, Hyderabad."
HDFC,Vehicle Loan,8.54,20,200000,500000,₹8795,Pensioner,Kondapur,"HDFC offers a vehicle loan at 8.54% for up to ₹500000 in Kondapur, Hyderabad."
Kotak,Education Loan,13.93,1,200000,500000,₹7517,Government,Tolichowki,"Kotak offers a education loan at 13.93% for up to ₹500000 in Tolichowki, Hyderabad."
ICICI,Personal Loan,14.74,2,50000,1000000,₹9783,Self-Employed,Gachibowli,"ICICI offers a personal loan at 14.74% for up to ₹1000000 in Gachibowli, Hyderabad."
Axis,Home Loan,11.13,5,50000,1000000,₹4553,Salaried,Hitech City,"Axis offers a home loan at 11.13% for up to ₹1000000 in Hitech City, Hyderabad."
BOB,Education Loan,8.98,15,50000,1000000,₹9046,Government,Kondapur,"BOB offers a education loan at 8.98% for up to ₹1000000 in Kondapur, Hyderabad."
PNB,Personal Loan,9.0,1,100000,1000000,₹9990,Self-Employed,Madhapur,"PNB offers a personal loan at 9.0% for up to ₹1000000 in Madhapur, Hyderabad."
BOB,Personal Loan,8.35,15,50000,1000000,₹6215,Salaried,Begumpet,"BOB offers a personal loan at 8.35% for up to ₹1000000 in Begumpet, Hyderabad."
PNB,Personal Loan,12.65,2,100000,500000,₹7076,Salaried,Attapur,"PNB offers a personal loan at 12.65% for up to ₹500000 in Attapur, Hyderabad."
Canara,Education Loan,9.08,3,50000,500000,₹8587,Government,Madhapur,"Canara offers a education loan at 9.08% for up to ₹500000 in Madhapur, Hyderabad."
ICICI,Home Loan,11.22,5,100000,500000,₹8700,Salaried,Banjara Hills,"ICICI offers a home loan at 11.22% for up to ₹500000 in Banjara Hills, Hyderabad."
PNB,Home Loan,8.19,15,100000,1000000,₹2414,Self-Employed,Secunderabad,"PNB offers a home loan at 8.19% for up to ₹1000000 in Secunderabad, Hyderabad."
IDFC First,Personal Loan,11.34,10,100000,2000000,₹9925,Self-Employed,Miyapur,"IDFC First offers a personal loan at 11.34% for up to ₹2000000 in Miyapur, Hyderabad."
IDFC First,Education Loan,13.13,20,50000,2000000,₹2673,Pensioner,Tolichowki,"IDFC First offers a education loan at 13.13% for up to ₹2000000 in Tolichowki, Hyderabad."
Yes Bank,Vehicle Loan,11.28,1,100000,1000000,₹3811,Self-Employed,Madhapur,"Yes Bank offers a vehicle loan at 11.28% for up to ₹1000000 in Madhapur, Hyderabad."
BOB,Education Loan,13.38,3,50000,2000000,₹3763,Government,Secunderabad,"BOB offers a education loan at 13.38% for up to ₹2000000 in Secunderabad, Hyderabad."
PNB,Education Loan,11.46,2,200000,2000000,₹3991,Pensioner,Kukatpally,"PNB offers a education loan at 11.46% for up to ₹2000000 in Kukatpally, Hyderabad."
Canara,Home Loan,11.91,2,100000,500000,₹8117,Self-Employed,Hitech City,"Canara offers a home loan at 11.91% for up to ₹500000 in Hitech City, Hyderabad."
PNB,Home Loan,9.3,1,200000,2000000,₹5086,Pensioner,LB Nagar,"PNB offers a home loan at 9.3% for up to ₹2000000 in LB Nagar, Hyderabad."
Canara,Home Loan,12.92,10,50000,1000000,₹1074,Pensioner,Kondapur,"Canara offers a home loan at 12.92% for up to ₹1000000 in Kondapur, Hyderabad."
Canara,Home Loan,12.57,10,100000,1000000,₹3127,Salaried,Madhapur,"Canara offers a home loan at 12.57% for up to ₹1000000 in Madhapur, Hyderabad."
BOB,Home Loan,8.72,10,50000,1000000,₹4067,Pensioner,LB Nagar,"BOB offers a home loan at 8.72% for up to ₹1000000 in LB Nagar, Hyderabad."
Axis,Vehicle Loan,7.79,15,100000,500000,₹2847,Pensioner,Madhapur,"Axis offers a vehicle loan at 7.79% for up to ₹500000 in Madhapur, Hyderabad."
ICICI,Personal Loan,10.42,5,200000,2000000,₹7960,Self-Employed,Tolichowki,"ICICI offers a personal loan at 10.42% for up to ₹2000000 in Tolichowki, Hyderabad."
Yes Bank,Home Loan,11.84,5,100000,2000000,₹2153,Pensioner,Banjara Hills,"Yes Bank offers a home loan at 11.84% for up to ₹2000000 in Banjara Hills, Hyderabad."
ICICI,Home Loan,13.16,2,200000,500000,₹3490,Salaried,Banjara Hills,"ICICI offers a home loan at 13.16% for up to ₹500000 in Banjara Hills, Hyderabad."
Kotak,Home Loan,13.32,5,50000,1000000,₹1277,Salaried,LB Nagar,"Kotak offers a home loan at 13.32% for up to ₹1000000 in LB Nagar, Hyderabad."
BOB,Education Loan,13.03,10,50000,500000,₹2464,Pensioner,Secunderabad,"BOB offers a education loan at 13.03% for up to ₹500000 in Secunderabad, Hyderabad."
PNB,Education Loan,10.74,5,100000,1000000,₹2906,Government,Secunderabad,"PNB offers a education loan at 10.74% for up to ₹1000000 in Secunderabad, Hyderabad."
ICICI,Home Loan,11.3,10,50000,2000000,₹1268,Government,Dilsukhnagar,"ICICI offers a home loan at 11.3% for up to ₹2000000 in Dilsukhnagar, Hyderabad."
ICICI,Home Loan,10.92,1,200000,2000000,₹6452,Government,Secunderabad,"ICICI offers a home loan at 10.92% for up to ₹2000000 in Secunderabad, Hyderabad."
SBI,Personal Loan,14.54,15,200000,2000000,₹1493,Salaried,Begumpet,"SBI offers a personal loan at 14.54% for up to ₹2000000 in Begumpet, Hyderabad."
HDFC,Education Loan,14.59,20,100000,2000000,₹6933,Salaried,Kondapur,"HDFC offers a education loan at 14.59% for up to ₹2000000 in Kondapur, Hyderabad."
SBI,Personal Loan,13.05,10,50000,1000000,₹3494,Self-Employed,Attapur,"SBI offers a personal loan at 13.05% for up to ₹1000000 in Attapur, Hyderabad."
Axis,Home Loan,7.42,5,50000,1000000,₹7327,Pensioner,Jubilee Hills,"Axis offers a home loan at 7.42% for up to ₹1000000 in Jubilee Hills, Hyderabad."
Axis,Home Loan,12.14,5,100000,1000000,₹6695,Self-Employed,Mehdipatnam,"Axis offers a home loan at 12.14% for up to ₹1000000 in Mehdipatnam, Hyderabad."
HDFC,Personal Loan,7.74,1,200000,500000,₹4388,Salaried,Hitech City,"HDFC offers a personal loan at 7.74% for up to ₹500000 in Hitech City, Hyderabad."
SBI,Vehicle Loan,7.88,20,200000,500000,₹3490,Self-Employed,Mehdipatnam,"SBI offers a vehicle loan at 7.88% for up to ₹500000 in Mehdipatnam, Hyderabad."
Yes Bank,Personal Loan,14.67,3,200000,2000000,₹5914,Self-Employed,Secunderabad,"Yes Bank offers a personal loan at 14.67% for up to ₹2000000 in Secunderabad, Hyderabad."
ICICI,Education Loan,11.41,5,200000,500000,₹4820,Government,Hitech City,"ICICI offers a education loan at 11.41% for up to ₹500000 in Hitech City, Hyderabad."
Yes Bank,Home Loan,12.84,3,50000,500000,₹2757,Self-Employed,Secunderabad,"Yes Bank offers a home loan at 12.84% for up to ₹500000 in Secunderabad, Hyderabad."
HDFC,Personal Loan,7.85,10,50000,2000000,₹8879,Self-Employed,Mehdipatnam,"HDFC offers a personal loan at 7.85% for up to ₹2000000 in Mehdipatnam, Hyderabad."
Axis,Personal Loan,9.64,20,100000,2000000,₹7728,Pensioner,Tolichowki,"Axis offers a personal loan at 9.64% for up to ₹2000000 in Tolichowki, Hyderabad."
SBI,Personal Loan,11.32,15,200000,2000000,₹1798,Pensioner,Banjara Hills,"SBI offers a personal loan at 11.32% for up to ₹2000000 in Banjara Hills, Hyderabad."
Canara,Education Loan,9.29,5,100000,500000,₹5553,Pensioner,Ameerpet,"Canara offers a education loan at 9.29% for up to ₹500000 in Ameerpet, Hyderabad."
BOB,Education Loan,10.82,3,50000,1000000,₹9906,Government,Gachibowli,"BOB offers a education loan at 10.82% for up to ₹1000000 in Gachibowli, Hyderabad."
Kotak,Home Loan,13.39,5,200000,500000,₹4587,Salaried,LB Nagar,"Kotak offers a home loan at 13.39% for up to ₹500000 in LB Nagar, Hyderabad."
HDFC,Personal Loan,8.38,10,50000,1000000,₹1368,Salaried,Dilsukhnagar,"HDFC offers a personal loan at 8.38% for up to ₹1000000 in Dilsukhnagar, Hyderabad."
SBI,Education Loan,7.1,10,50000,2000000,₹5315,Government,Banjara Hills,"SBI offers a education loan at 7.1% for up to ₹2000000 in Banjara Hills, Hyderabad."
Axis,Education Loan,11.48,1,100000,2000000,₹1652,Salaried,Hitech City,"Axis offers a education loan at 11.48% for up to ₹2000000 in Hitech City, Hyderabad."
SBI,Education Loan,8.4,3,200000,1000000,₹4251,Salaried,Attapur,"SBI offers a education loan at 8.4% for up to ₹1000000 in Attapur, Hyderabad."
Kotak,Home Loan,11.3,5,50000,1000000,₹1923,Government,Madhapur,"Kotak offers a home loan at 11.3% for up to ₹1000000 in Madhapur, Hyderabad."
Axis,Education Loan,12.71,1,50000,1000000,₹5526,Salaried,Begumpet,"Axis offers a education loan at 12.71% for up to ₹1000000 in Begumpet, Hyderabad."
HDFC,Vehicle Loan,8.43,15,200000,2000000,₹2194,Salaried,Mehdipatnam,"HDFC offers a vehicle loan at 8.43% for up to ₹2000000 in Mehdipatnam, Hyderabad."
BOB,Home Loan,12.05,10,50000,2000000,₹3637,Salaried,LB Nagar,"BOB offers a home loan at 12.05% for up to ₹2000000 in LB Nagar, Hyderabad."
Yes Bank,Personal Loan,8.77,5,100000,1000000,₹9812,Government,Madhapur,"Yes Bank offers a personal loan at 8.77% for up to ₹1000000 in Madhapur, Hyderabad."
BOB,Education Loan,11.99,3,100000,500000,₹6888,Government,Kondapur,"BOB offers a education loan at 11.99% for up to ₹500000 in Kondapur, Hyderabad."
SBI,Home Loan,11.33,2,200000,2000000,₹2904,Government,Attapur,"SBI offers a home loan at 11.33% for up to ₹2000000 in Attapur, Hyderabad."
HDFC,Vehicle Loan,11.72,1,100000,1000000,₹7064,Pensioner,Begumpet,"HDFC offers a vehicle loan at 11.72% for up to ₹1000000 in Begumpet, Hyderabad."
HDFC,Education Loan,8.48,1,100000,1000000,₹6506,Salaried,Tolichowki,"HDFC offers a education loan at 8.48% for up to ₹1000000 in Tolichowki, Hyderabad."
IDFC First,Vehicle Loan,8.19,10,100000,2000000,₹2080,Self-Employed,Tolichowki,"IDFC First offers a vehicle loan at 8.19% for up to ₹2000000 in Tolichowki, Hyderabad."
IDFC First,Vehicle Loan,12.12,15,200000,1000000,₹4326,Pensioner,Banjara Hills,"IDFC First offers a vehicle loan at 12.12% for up to ₹1000000 in Banjara Hills, Hyderabad."
IDFC First,Education Loan,13.51,20,100000,1000000,₹1246,Pensioner,Banjara Hills,"IDFC First offers a education loan at 13.51% for up to ₹1000000 in Banjara Hills, Hyderabad."
SBI,Personal Loan,12.88,3,50000,1000000,₹6306,Government,Ameerpet,"SBI offers a personal loan at 12.88% for up to ₹1000000 in Ameerpet, Hyderabad."
BOB,Vehicle Loan,11.04,3,100000,500000,₹1189,Salaried,Miyapur,"BOB offers a vehicle loan at 11.04% for up to ₹500000 in Miyapur, Hyderabad."
Axis,Personal Loan,9.05,5,100000,1000000,₹8248,Self-Employed,Miyapur,"Axis offers a personal loan at 9.05% for up to ₹1000000 in Miyapur, Hyderabad."
Axis,Education Loan,8.95,20,50000,2000000,₹6448,Pensioner,Madhapur,"Axis offers a education loan at 8.95% for up to ₹2000000 in Madhapur, Hyderabad."
ICICI,Personal Loan,7.87,5,100000,500000,₹2085,Pensioner,Jubilee Hills,"ICICI offers a personal loan at 7.87% for up to ₹500000 in Jubilee Hills, Hyderabad."
SBI,Home Loan,14.04,5,50000,500000,₹2715,Salaried,Jubilee Hills,"SBI offers a home loan at 14.04% for up to ₹500000 in Jubilee Hills, Hyderabad."
HDFC,Education Loan,11.32,2,50000,2000000,₹5936,Government,Madhapur,"HDFC offers a education loan at 11.32% for up to ₹2000000 in Madhapur, Hyderabad."
BOB,Personal Loan,10.79,20,200000,2000000,₹6296,Pensioner,Kondapur,"BOB offers a personal loan at 10.79% for up to ₹2000000 in Kondapur, Hyderabad."
BOB,Vehicle Loan,7.73,3,50000,1000000,₹7643,Self-Employed,Secunderabad,"BOB offers a vehicle loan at 7.73% for up to ₹1000000 in Secunderabad, Hyderabad."
PNB,Education Loan,13.52,20,50000,500000,₹8115,Self-Employed,Hitech City,"PNB offers a education loan at 13.52% for up to ₹500000 in Hitech City, Hyderabad."
PNB,Education Loan,10.51,15,100000,2000000,₹8543,Salaried,Jubilee Hills,"PNB offers a education loan at 10.51% for up to ₹2000000 in Jubilee Hills, Hyderabad."
IDFC First,Vehicle Loan,12.76,5,200000,500000,₹2893,Salaried,Mehdipatnam,"IDFC First offers a vehicle loan at 12.76% for up to ₹500000 in Mehdipatnam, Hyderabad."
IDFC First,Vehicle Loan,7.3,10,50000,1000000,₹5754,Pensioner,Tolichowki,"IDFC First offers a vehicle loan at 7.3% for up to ₹1000000 in Tolichowki, Hyderabad."
PNB,Personal Loan,10.66,2,100000,1000000,₹3618,Government,Mehdipatnam,"PNB offers a personal loan at 10.66% for up to ₹1000000 in Mehdipatnam, Hyderabad."
IDFC First,Education Loan,11.75,5,100000,2000000,₹7755,Government,Attapur,"IDFC First offers a education loan at 11.75% for up to ₹2000000 in Attapur, Hyderabad."
ICICI,Education Loan,7.75,10,50000,2000000,₹3010,Self-Employed,Mehdipatnam,"ICICI offers a education loan at 7.75% for up to ₹2000000 in Mehdipatnam, Hyderabad."
Kotak,Home Loan,13.77,10,100000,2000000,₹8741,Pensioner,Hitech City,"Kotak offers a home loan at 13.77% for up to ₹2000000 in Hitech City, Hyderabad."
HDFC,Home Loan,13.48,1,200000,500000,₹7424,Salaried,Ameerpet,"HDFC offers a home loan at 13.48% for up to ₹500000 in Ameerpet, Hyderabad."
BOB,Education Loan,13.08,3,50000,1000000,₹8728,Pensioner,Miyapur,"BOB offers a education loan at 13.08% for up to ₹1000000 in Miyapur, Hyderabad."
IDFC First,Home Loan,10.75,10,100000,500000,₹7845,Self-Employed,Kukatpally,"IDFC First offers a home loan at 10.75% for up to ₹500000 in Kukatpally, Hyderabad."
Canara,Education Loan,7.11,5,50000,2000000,₹8590,Salaried,Jubilee Hills,"Canara offers a education loan at 7.11% for up to ₹2000000 in Jubilee Hills, Hyderabad."
IDFC First,Personal Loan,9.63,5,200000,1000000,₹1093,Salaried,Hitech City,"IDFC First offers a personal loan at 9.63% for up to ₹1000000 in Hitech City, Hyderabad."
SBI,Education Loan,14.35,5,50000,500000,₹2578,Pensioner,Banjara Hills,"SBI offers a education loan at 14.35% for up to ₹500000 in Banjara Hills, Hyderabad."
Yes Bank,Vehicle Loan,10.09,1,200000,500000,₹3506,Self-Employed,Attapur,"Yes Bank offers a vehicle loan at 10.09% for up to ₹500000 in Attapur, Hyderabad."
Axis,Education Loan,14.08,15,50000,1000000,₹2900,Salaried,Begumpet,"Axis offers a education loan at 14.08% for up to ₹1000000 in Begumpet, Hyderabad."
ICICI,Vehicle Loan,13.18,10,50000,1000000,₹7921,Pensioner,Tolichowki,"ICICI offers a vehicle loan at 13.18% for up to ₹1000000 in Tolichowki, Hyderabad."
